year,name,main_ts,main_hour,main_heat,valley,second_ts,second_hour,second_heat,gap_min,ratio
2025,美国队长4票房破亿,2025-02-26 23:46:11,23,244939,21974,2025-02-27 09:58:04,9,148405,612,0.606
2025,日本民众回应最后2只大熊猫将回国,2025-11-24 18:54:04,18,266082,53409,2025-11-25 01:50:05,1,156861,416,0.590
2025,云南25岁缉毒警牺牲时仍紧扣扳机,2025-11-29 14:42:03,14,578540,130576,2025-11-29 20:24:04,20,339932,342,0.588
2025,坚持晚睡一个小时的身体变化,2025-10-30 01:10:05,1,293016,19105,2025-10-30 08:20:06,8,169575,430,0.579
2025,黄杨钿甜艺考成绩被网友质疑有水分,2025-05-21 00:12:03,0,1716565,95550,2025-05-21 07:42:03,7,974488,450,0.568
2025,吴磊今年已与两家游戏解约,2025-11-04 21:54:04,21,120695,21282,2025-11-05 07:24:03,7,64319,570,0.533
2025,燕云情趣内衣外国人都看不下去了,2025-12-26 17:10:06,17,545483,170702,2025-12-26 19:24:04,19,277719,134,0.509
2025,森林北首晒儿子,2025-09-16 15:40:06,15,446108,121370,2025-09-16 19:42:04,19,198107,242,0.444
2025,石凯回复,2025-10-06 23:50:04,23,234921,19969,2025-10-07 10:12:03,10,95407,622,0.406
2025,怪奇物语,2025-11-27 15:50:05,15,881612,160538,2025-11-27 18:50:06,18,340722,180,0.386
2025,淘宝免单,2026-05-08 12:12:05,12,3779950,668798,2026-05-09 12:20:07,12,1381863,1448,0.366
2025,真的不要在床头上挂东西了,2025-09-16 16:54:03,16,296539,25954,2025-09-17 08:42:04,8,107521,948,0.363
2025,中国将寻找第二颗地球,2025-11-24 21:20:04,21,584937,20336,2025-11-25 06:50:04,6,202652,570,0.346
2025,微信回应出朋友圈访客功能,2025-10-15 18:50:05,18,205551,15701,2025-10-16 07:54:04,7,65048,784,0.316
2025,协和特培项目是否成了特权通道,2025-04-29 23:10:05,23,516587,32002,2025-04-30 10:42:03,10,159926,692,0.310
