词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
黑粉冒充肖战小号,122021,415263,1071363,1103008,1006224,765476,763349,756968,362556,286549,256429,234912,210252,152211,121595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IU求握手被男粉拒绝,60352,161324,229194,288689,317047,442602,531918,480936,441870,481655,352478,372615,249195,273915,238533,227909,202336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直面抑郁症需要多大的勇气,19318,235639,286096,267888,379368,275868,167906,113734,95689,89189,88707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天下足球看哭了,163108,184729,202847,248871,170161,136785,97889,61430,42571,30888,27161,24402,22644,21605,18918,17862,20293,26179,39926,55402,60257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吐槽大会4定档,127739,847996,685740,638166,538745,854206,805559,666850,669182,586323,655935,285436,189835,176847,91421,59064,29575,23451,21288,31166,25393,23301,70734,116539,224459,240233,132598,93384,73203,59672,48838,44345,37354,,,,,,,,,,,,,,,,
刘迦舞蹈,54772,197491,221799,425024,415130,423848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
请叫师傅不要司机司机的叫,151731,334461,538881,502466,954742,487044,981654,718237,625371,576596,404323,274718,217153,206948,208776,211926,187404,129036,84501,56618,37875,23940,19594,15643,14343,13578,14062,18554,38013,78438,85926,128066,132064,,,,,,,,,,,,,,,,
2019年的最后一个月,75983,616545,647154,1143684,861681,831060,757296,677374,791446,617750,469134,887191,389422,344233,316725,305767,283266,262668,196290,168952,130842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李沁枫叶色眼妆,159613,1209833,1087408,1108614,898889,818273,776642,741046,678099,610815,1017246,1116817,1583995,1266393,858402,460172,313737,222167,167014,132920,102193,27166,18709,16746,15066,22418,41137,62327,79320,,,,,,,,,,,,,,,,,,,,
撒贝宁私生骚扰张绍刚,106598,1087919,1039413,994910,1377815,1021781,1118113,1271087,1064626,947831,895031,651184,487438,406842,1135232,328322,211506,158500,142959,134671,102421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格力电器删除电信业务,211552,287516,400846,1033848,655497,181189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27岁女生成浙大博导,119042,325734,254754,1436179,1464530,1070367,816614,623077,560503,576618,468650,321929,280800,214964,182918,158605,129963,89494,59928,44712,29524,22880,16714,13575,12214,11610,10770,10792,12767,20705,33458,,,,,,,,,,,,,,,,,,
撒贝宁猜饭圈用语,120773,525225,443166,548963,378891,319780,302580,227232,318364,322356,325402,278777,298331,236767,189793,155671,95425,61841,40382,31476,24545,20012,17831,16284,15344,15020,14247,17701,26262,41376,61138,70399,,,,,,,,,,,,,,,,,
仓颉,173574,639178,623181,446054,294449,194268,133994,84110,58883,40986,29614,24302,25665,26368,30106,77208,103233,168921,145053,118379,130283,114463,107292,94981,,,,,,,,,,,,,,,,,,,,,,,,,
聊天时产生的错觉,79438,245963,429515,536352,324493,264782,279336,221287,201000,154954,167110,182883,135870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过生日要有仪式感,82861,394073,371440,342648,267536,236231,228872,205611,177001,154627,153182,140481,136673,132865,129057,125249,121441,117633,113825,110016,106208,102400,98592,94784,,,,,,,,,,,,,,,,,,,,,,,,,
死亡货车案死者遗体运回越南,153446,419555,337129,249998,260870,285613,252904,241899,250062,228942,213534,229155,217249,211850,275894,262850,248226,295756,275175,311157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宇宙少女累瘫在舞台,139758,359069,417690,327916,385143,269542,236600,348135,352098,292974,257353,219638,164628,158229,146221,113357,122600,96310,122415,122204,96612,85157,,,,,,,,,,,,,,,,,,,,,,,,,,,
大学开设死亡体验课程,121963,935595,1152571,2288676,1277955,1387746,1359358,910642,538927,255472,90184,70204,57677,71891,60668,26528,26989,25352,31055,40827,96467,218898,811042,104031,91382,,,,,,,,,,,,,,,,,,,,,,,,
郑元畅Ella重聚,136722,1336174,1034855,708483,468116,299481,226909,143541,97290,57962,24335,35983,65252,71366,94739,159895,300660,272800,289343,430467,410653,190976,180461,142166,122450,110606,94554,,,,,,,,,,,,,,,,,,,,,,
莫雷诺跪走半场谢球迷,35007,373850,369019,360620,289568,696977,160437,111171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双向暗恋能有多甜,79508,607208,633543,553111,491817,426478,412957,371648,369143,398066,336022,324434,261692,195682,164431,152393,137864,120427,115137,108682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漫画卷到底有多美,112661,237431,225866,209026,164651,113629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
学霸情侣3年获近9万奖学金,136474,533008,339273,635776,295319,372303,285794,179125,132272,96947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年龄大了必须要结婚吗,133364,478091,674608,894975,1571312,727093,589713,515154,1271416,1113232,599761,531797,473475,402021,485387,1302503,891253,740966,133129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港警务处处长邓炳强今日赴京,155761,841885,784580,665299,525437,415512,619415,278844,186669,101244,78379,76431,74483,72535,70587,68639,66691,64743,62795,60847,58899,56951,55003,53055,51107,49159,47211,36344,44330,35578,28815,24110,23387,19465,22929,30712,54536,89064,136623,178352,,,,,,,,,
吴亦凡古装,270387,1233057,1025792,941728,1325991,1439643,1467498,1019490,534918,489111,386603,197759,305232,217895,139783,95373,70681,48745,39350,32126,24294,20626,16951,16570,21892,39762,62621,,,,,,,,,,,,,,,,,,,,,,
英驻香港总领馆雇员嫖娼审讯视频,198478,739650,701605,902545,854122,700129,718471,507579,522998,1017547,909049,904238,800861,722711,600071,375043,276809,314545,92051,101187,127671,97139,51373,70226,84427,94661,57665,155520,318996,495836,411502,612217,675518,777067,257797,248241,267591,250184,293119,,,,,,,,,,
迪丽热巴黄景瑜拥吻路透,146956,460528,396769,1222032,1013474,323724,835554,747929,614640,491220,451055,225210,224165,227156,198140,169733,130058,134332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李国庆称未来择偶标准是傻白甜,177145,783982,533663,445739,260108,181230,121461,117641,61082,50768,43946,40141,41112,45595,54081,100184,246629,400140,399999,399866,367164,414655,158123,95795,,,,,,,,,,,,,,,,,,,,,,,,,
圣诞节表情包,44705,105483,177378,194277,152489,117888,114666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
康辉回应朱广权,160272,3180108,2857260,2513922,2934353,2348878,748053,565892,471020,378795,588811,555737,513976,455311,259504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拍戏念数字1234,168560,1078571,1241588,980462,930859,773405,689659,664778,558915,509225,477291,290343,239931,183829,161580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四个字期待2020,160217,288405,423597,287400,378188,380092,433721,417799,386399,286561,201669,132999,92446,68215,53134,41564,33179,29028,22952,20463,17773,23495,41402,71446,101974,131833,146808,,,,,,,,,,,,,,,,,,,,,,
特战队员魔鬼周的日常,54745,83431,96722,87396,53864,34269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84岁女儿回应被107岁妈妈塞糖,184604,401431,435174,440934,429378,357672,469272,366054,338720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不要小看孩子的模仿能力,175649,561275,413841,351295,254167,205542,204182,117909,75534,59053,47531,42579,25803,33813,30770,37124,60001,89792,118503,163011,164437,152488,,,,,,,,,,,,,,,,,,,,,,,,,,,
没有运动细胞是种什么体验,29101,260045,216948,180174,129600,97659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林书豪球鞋印高以翔合影,186556,1681900,2064362,1372091,1177433,1240677,396820,339198,277066,252430,232347,245343,204006,207051,183823,163436,158249,109687,77280,52718,31587,23372,17473,15279,12504,11376,11543,14145,19904,37646,69500,102529,136979,156836,147336,113965,84409,65910,61889,49419,44021,,,,,,,,
香港阿Sir哭了,138826,1249288,716024,1088550,859537,699773,570917,507162,441626,437253,446760,418609,385037,357856,177003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连被害女孩曾写信给父母,190571,1133684,1505539,2589958,697038,718299,537807,451314,828546,658882,681638,544037,278222,201914,135434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑爽 粉色蛋糕裙,211723,2119521,1986325,1715698,460464,602989,454489,411222,686373,371149,325749,466340,379682,280087,222446,155707,97447,64318,46232,34536,26065,22063,19732,16422,15446,15063,21326,35190,,,,,,,,,,,,,,,,,,,,,
小龙堡 rng,73941,487699,620560,614363,467456,346773,287844,260394,213034,167535,160243,125401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江卫视声明,179692,4852510,6562029,7779119,5963915,3352095,2052815,1292469,900676,673453,550112,472545,417086,338526,335381,393562,684393,1420081,2729392,557718,581164,452233,818609,657716,519660,118524,,,,,,,,,,,,,,,,,,,,,,,
对方哪个举动会让你死心,30827,232198,273264,269189,379584,279663,260016,203354,152882,187958,147933,114238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你的发量适合哪个朝代发型,142075,360164,421970,450851,423647,398478,311456,231130,192073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈情令原画设定集,155353,522333,369655,502395,410562,363623,304635,282080,240922,225666,195991,168302,161774,139960,119794,87035,59877,39367,26073,19531,14447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
章莹颖案凶手转移监狱,154152,1436508,1601017,1345097,2538056,2546978,4200627,3354527,493726,496982,463048,347218,412300,111854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy沙漠大片,207731,363023,334104,334364,347495,361893,325619,365781,291175,235065,207887,142458,161548,167159,141113,139729,139682,140083,137230,129046,153570,153779,153779,142774,137008,91556,106948,134335,146739,137005,127469,106222,,,,,,,,,,,,,,,,,
桂林航空高层集体受罚,147885,1103233,1407604,2381688,1907503,1757150,1494466,1296583,633866,575930,2904201,3032680,674442,1211720,380053,539107,345755,225960,90732,128523,52780,43103,39078,59554,56465,64749,113592,216334,359645,78963,76929,,,,,,,,,,,,,,,,,,
文化输出成功的影视剧,307569,379083,481126,408616,282793,223509,207900,138224,160567,129727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煮红酒,116258,228984,325997,387956,308204,232736,129482,131328,99638,70984,48045,38773,32563,26964,22532,16573,14508,13965,13895,18494,27868,46257,64523,,,,,,,,,,,,,,,,,,,,,,,,,,
华为2020年末位淘汰主管,138307,382943,408284,397551,312342,213386,189863,155096,135436,155661,158462,139821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾伦发文,138811,529489,3283502,2660006,2013890,899971,666086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腾讯年会,239253,563241,998461,290884,260253,185563,133028,101420,52893,72376,57018,48505,49646,50018,56899,89449,102186,242116,232855,233013,453905,333556,234433,187410,155115,,,,,,,,,,,,,,,,,,,,,,,,
金鸡百花电影节首批展映片单,135470,584258,531634,430056,310023,212853,142904,87106,60775,44662,34036,30966,28733,26268,26229,38191,60394,109939,104035,75934,65833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鞋子被学校的狗叼走了,91456,389083,617861,268884,334490,267464,205611,167848,147405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪后紫金山,145989,179358,496302,438442,434908,563574,132111,126233,120354,114476,108598,102719,96841,90962,85084,79206,73327,67449,61571,55692,49814,43935,38057,,,,,,,,,,,,,,,,,,,,,,,,,,
朱婷28扣21中,127268,155895,190701,239216,159887,118936,93910,67003,47428,35230,27854,23201,20718,17735,16767,13286,12607,54257,98501,215414,129980,110195,102967,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南卫视跨年阵容,140612,1810195,1840567,1905699,1857099,1712439,1445001,1281633,1163981,1052343,1426447,1354719,723079,1156272,568855,757468,433259,332555,352383,146723,96102,81492,50735,67298,50875,29468,32903,31195,29539,40843,77088,139850,89218,94975,95114,81846,78473,78620,78766,78912,79059,79205,79351,79498,79644,79790,79937,80083,80229
郑雨盛 最佳男主角,269846,364147,304164,213951,154178,98537,84494,53500,40996,35095,29826,27060,28477,33613,55238,124156,340447,300226,233365,169210,127919,102664,,,,,,,,,,,,,,,,,,,,,,,,,,,
掉入地铁轨道被一秒救起,124205,457619,415487,448245,410030,403686,379002,317285,252254,172678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年故宫600岁,207137,474502,414560,396322,407240,336143,247358,202081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿中哥把购物车开进了进博会,177255,2474192,1659446,1255780,926277,530779,410698,260201,191401,156857,136037,117582,104647,109736,143216,245639,417949,428473,498412,376885,495228,234441,313596,144906,110178,97576,,,,,,,,,,,,,,,,,,,,,,,
丧偶式恋爱要分手吗,326171,726448,612715,524752,445963,352988,323326,291982,305676,332136,289182,241365,170961,143320,134161,142487,142487,142487,142487,142487,129285,129285,161589,161613,161533,117993,280821,205411,196374,173473,130801,113709,96496,,,,,,,,,,,,,,,,
班主任设置了五十个班委,106595,1303050,1719565,1728937,1514742,1294660,1251199,1168878,1010328,792732,745359,1023481,634745,811033,449137,616614,361231,302231,540980,625458,194518,123466,,,,,,,,,,,,,,,,,,,,,,,,,,,
和前任发的最后一条消息,96845,391830,396341,390438,359761,358656,291496,225546,225718,186086,176193,148420,134620,121041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熬夜能可怕到什么程度,80363,623633,752048,598012,472229,398645,330828,271516,273007,298047,295692,240028,199915,158895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
从发工资时间看公司状态,139151,465786,298060,795563,636541,534653,552260,430627,358714,326842,297499,267562,226812,182942,160452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最用心的女扮男装,126423,155172,145470,112940,79522,60365,46569,34013,24162,19021,15805,16490,22925,33658,58556,94781,147097,169904,147309,127923,118858,106930,83448,,,,,,,,,,,,,,,,,,,,,,,,,,
王一博等赵丽颖,111618,1440235,2475368,2239964,2232280,2156953,2084263,1888941,745715,731021,945595,773092,583190,402650,280865,202593,132365,77096,60958,55433,76401,50597,39194,37538,54018,92825,104443,110172,116095,115035,102080,92227,78192,40281,,,,,,,,,,,,,,,
王源被妈妈安排相亲,178819,831617,748441,643998,555712,500847,410237,463176,417995,410438,712707,526341,348901,196584,141980,90023,66378,49728,39224,32545,32044,30035,39147,98408,212072,275662,250775,244094,192747,136533,109963,103525,,,,,,,,,,,,,,,,,
杀人回忆原型清晰长相,125848,212511,322059,254833,200156,155387,159508,150804,155470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩服冬天露脚踝的人,82956,277777,376629,385842,334052,256291,257501,252786,240702,225054,222279,189886,197794,184321,169722,169487,166222,143575,107685,75526,46564,34685,,,,,,,,,,,,,,,,,,,,,,,,,,,
微信推出QQ小程序,125673,2244579,3230059,3004988,2308865,1982698,1460862,1102639,1888104,799273,732398,777262,661614,457064,498625,687027,223100,191852,194820,250561,681287,138218,89687,59389,35269,27283,20271,,,,,,,,,,,,,,,,,,,,,,
迪士尼公主礼服,152571,777063,799285,578763,437181,479250,444753,433911,371275,324064,861251,947176,751719,543699,714042,503070,388960,260188,118519,107924,59593,103762,95907,49252,112742,114252,186318,454002,663354,610874,353319,,,,,,,,,,,,,,,,,,
TFBOYS坐台下等到散场,141344,334052,333033,275426,278342,235865,267085,304793,218809,262242,219592,194050,214146,169071,147561,172335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈念与小北之间是爱情吗,151243,1300318,1190392,1092356,939805,767652,723192,638806,993432,444848,780111,413446,944340,661947,579186,635764,192032,152511,138780,123720,108660,93600,78541,63481,48421,33361,20147,19512,16343,13174,10006,8535,7896,,,,,,,,,,,,,,,,
杜鹃走秀勾到吴宣仪裙子,125499,3358826,4363140,4047662,3428824,2750934,2237678,1378873,931336,599786,410639,305870,236794,174505,117202,96256,86280,82706,129972,271339,526135,613556,231151,159495,146096,188584,148971,123823,102098,,,,,,,,,,,,,,,,,,,,
就是瘦不下来是什么体验,87319,230292,210967,432399,336917,264660,196501,154080,143591,130687,122477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苹果一半员工没大学学历,210000,528690,582803,1305495,1277359,1159978,1030422,1054207,875120,778664,516327,288717,202210,268148,117527,144640,112801,87628,72222,83185,82377,98680,117946,203704,431429,561986,605651,588602,194511,132633,114209,,,,,,,,,,,,,,,,,,
Gap子品牌OldNavy将撤离中国市场,156564,1134458,1295193,1027484,914830,708240,616335,526417,408623,255435,150044,112231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳居民楼大火系因住户插排故障,102506,151129,209832,218950,164625,151812,125567,109571,88675,147469,164235,123808,102987,82725,70988,50424,41560,44079,28260,40551,69541,164285,200676,116313,74410,,,,,,,,,,,,,,,,,,,,,,,,
男友晒陈乔恩近照,86061,3502693,3898627,3568600,2663931,2338704,2239451,1989808,1665575,1207513,859130,559894,386733,270041,192721,140106,105158,94630,77900,51464,52378,56268,94851,184279,386566,311286,219137,230196,,,,,,,,,,,,,,,,,,,,,
今年的成年人好像都很爱哭,122723,339734,339910,350705,352561,471732,544213,541976,575495,495837,197384,131830,102491,76446,57000,42469,33561,25701,20030,17978,14998,23165,34585,37325,29575,28138,32252,41726,,,,,,,,,,,,,,,,,,,,,
男生身高170以下的感受,177858,340555,373235,343767,581257,331731,299035,333289,259388,194323,163532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为减少袁咏仪购物却碰上李佳琦,131652,2127618,4142960,3892254,2881796,2413644,2105663,461847,532152,430398,495553,534580,346948,239529,229461,280140,353656,271006,217897,162068,104862,72888,51942,39402,31100,24807,20122,18723,17797,17501,19502,25704,64465,83979,,,,,,,,,,,,,,,
杨幂金丝眼镜,64227,1612171,1347865,1209197,919838,965820,649855,443173,562797,512590,513036,354989,342114,237835,217336,173174,132902,123462,116335,77608,62549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圈内成员揭秘薅羊毛行为,66657,706219,759797,618377,461673,383844,398160,373132,365146,1420817,977999,733969,678145,263840,344802,848641,103105,55902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张若昀回应打过唇钉,83933,3391603,4003366,3703486,3213102,2931132,2158306,1686983,1309731,1296707,328138,316768,363491,325205,268568,214028,165011,115019,78753,50041,40117,29860,25030,22595,19074,22305,31255,48852,52090,,,,,,,,,,,,,,,,,,,,
打车收千元司机被吊销资格证,163614,256942,242050,197044,120760,81929,76681,71432,66183,60934,55685,50437,45188,39939,34690,29441,24192,18944,13695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90后老师的专属教学方式,158220,896759,877204,715042,621581,426434,289884,262051,316417,302410,215148,166444,139406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻澳门部队进驻之初珍贵训练画面,328908,112724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长毛解说,82179,238699,293287,229716,159363,124487,100423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当代青年为了省钱有多拼,133203,256848,440909,340751,329574,311774,263632,296055,228496,197107,191577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自媒体能作为长期职业吗,95775,201670,242076,231435,193990,179399,174211,156598,137510,127881,131716,129446,111375,90208,62484,40981,27619,21092,17655,15987,14286,13750,12874,11163,11816,15288,24304,42302,,,,,,,,,,,,,,,,,,,,,
赵今麦暗黑系大片,164798,286361,306644,298223,277991,260371,265839,312271,254097,276311,352848,220181,204513,180876,145170,115681,78230,56252,39828,28179,18789,15320,,,,,,,,,,,,,,,,,,,,,,,,,,,
男生如何报身高,179099,192903,325813,331817,301464,252406,178204,136273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云光中被双开,132303,259555,212296,280515,275715,251738,296598,278596,318054,281474,316356,252066,233725,294162,403616,435374,347485,195385,149559,100891,78365,55213,45790,37137,30928,28543,24268,21425,23319,32979,56181,105152,173477,231664,209564,,,,,,,,,,,,,,
mata被换下去,187453,503066,709900,731789,537713,425937,250708,140027,116701,99490,73309,68644,65249,33009,30500,34705,55507,174356,302015,118510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber晒fx合唱视频,119066,599164,417671,433368,325786,265687,211999,187540,160809,150631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闫妮 半露锁骨装,182220,231438,295067,259320,316675,293091,249139,161545,195317,167521,163499,159477,155455,151433,147412,143390,139368,135346,131325,127303,123281,119259,115238,111216,107194,103172,99151,95129,91107,87085,83064,79042,75020,70998,66977,62955,58933,54911,50889,46868,42846,35950,,,,,,,
刘嘉玲 汤臣一品没有房子,141798,2004405,2095314,1971568,1757979,1663678,1590931,1238889,997649,452272,410671,311647,261528,184922,170385,128890,99767,63427,55647,43552,33515,26630,20952,18386,15729,16335,23122,40278,77348,111961,166681,179879,,,,,,,,,,,,,,,,,
冬天一定要吃的食物,174042,278396,231321,224851,196917,199373,245447,278867,291535,256232,195887,135750,94365,59170,44853,35650,29694,27634,22685,17908,15022,14740,16946,23639,44450,64881,83312,80422,,,,,,,,,,,,,,,,,,,,,
帽子对男生有多重要,136156,302409,317624,233263,266225,209306,198344,203476,184714,155062,131333,120834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被好朋友告白怎么办,186448,562673,692414,722941,697824,679425,1347486,1306236,941772,611334,485053,505094,483419,387928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王嘉尔帮粉丝揉头,48810,198524,242766,283360,180950,365285,429221,318198,221512,191370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杜江谈霍思燕害怕香蕉的原因,187770,5375634,4996120,4450444,3229153,2755320,2479835,2249627,1891235,1578706,1332120,1009411,750492,474589,278947,186682,128504,119189,88152,73793,66941,65051,59432,80604,146689,305269,200150,213375,195543,,,,,,,,,,,,,,,,,,,,
李娜姜山相处模式,168775,997376,577077,1074658,1082291,757998,494178,159077,99647,76103,63670,68581,48600,37812,33222,36318,47404,84799,164296,257795,451462,1234506,233909,132733,,,,,,,,,,,,,,,,,,,,,,,,,
南风关注iG官博,179642,349619,445451,386648,306523,241910,201268,163780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奔驰女车主母亲被2次限制高消费,207924,475382,448681,583693,960977,767618,309193,412057,251109,161023,121092,59786,72554,62112,55246,50177,52133,40123,48261,84368,153578,179622,180607,140062,128333,94481,,,,,,,,,,,,,,,,,,,,,,,
刘惜君 你把头发剪短了,130095,4101954,4236151,3743476,3740057,3498378,3362497,4905364,619125,566894,504765,582514,336377,273740,309297,299767,230897,117760,112844,107927,103011,98095,93179,88262,83346,78430,73514,68597,63681,58765,53849,48933,44016,39100,34184,29268,24351,19435,14519,9603,,,,,,,,,
大学生情侣教科书式救人,52467,914705,1195526,1068205,898833,789126,678072,545440,452644,336966,287341,219254,181426,105349,85908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017太好了,128313,426935,372382,281105,216918,185688,145919,115852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看一集就上头的剧,129880,288530,288614,218362,206127,217519,254632,278254,458781,234022,396607,361832,347188,301880,266860,186313,132015,88393,61782,48253,30899,23546,19818,18295,16944,16237,18797,26880,46014,64003,78979,84105,83296,70927,,,,,,,,,,,,,,,
历史上人类最长牙齿,132336,290697,341025,354731,300937,387674,315316,315455,319892,294098,266992,204137,149475,135909,124202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄婷婷ins,81199,2269184,2309023,1833947,1210029,197263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXO 舞台,46276,161559,233553,192663,206547,175680,146917,141453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网易致歉,196849,1389314,2318715,4607499,4811021,3287663,2670607,1588015,1270540,2119990,2378260,730899,905513,917147,630694,708743,356680,568900,209922,168514,122330,113740,105149,96559,87969,79379,70788,62198,53608,45018,36427,27837,19247,16784,16978,13999,11866,12174,12848,17081,,,,,,,,,
科学家种钻石1星期长1克拉,111054,476774,485207,521943,465307,452476,453047,383965,317658,233996,502116,120134,132834,97166,79614,64085,54531,38770,41055,38580,24844,81908,157513,239131,99638,96512,,,,,,,,,,,,,,,,,,,,,,,
宋祖儿民族风造型,161369,400640,719668,674432,421350,210815,144670,101059,67216,58635,49846,46049,37812,27017,20885,20685,23692,37921,74167,146578,154554,161406,135876,105009,84833,,,,,,,,,,,,,,,,,,,,,,,,
14个越南家庭报案家人疑失踪英国,136391,800568,689301,641448,603337,692767,459544,527076,530311,379594,414046,371954,638490,551615,375259,253053,168464,105078,70674,52253,39282,30575,25547,24273,25927,30853,47273,147676,110902,120651,116116,117058,99128,87935,79398,,,,,,,,,,,,,,
托福对接中国英语能力等级量表,124969,226218,211203,168793,127242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19年度明星沙雕翻唱大赏,138989,300364,341255,338877,252228,164256,110498,74164,52380,45075,37623,29953,24565,22406,17233,15099,16315,31134,81804,158873,170855,146310,96852,,,,,,,,,,,,,,,,,,,,,,,,,,
于正说的女演员,180634,362086,1815183,546756,502916,416431,409520,405574,274697,296088,264164,246626,252054,301214,324095,197283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018年中国器官捐献数世界第二,34320,510372,424594,437304,308931,286418,344323,267202,276098,318851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡徐坤 青你2制作人代表,118167,1481396,1420067,1249037,1115103,1045413,968364,609267,562657,442604,356197,386466,207850,200106,184890,167736,152667,140528,104749,76832,50168,37529,30943,25919,22423,18233,15926,14867,13322,12717,15804,21741,,,,,,,,,,,,,,,,,
该不该帮朋友打掩护,216317,1227011,1096392,1107323,1226948,1262728,906610,509155,308509,217872,160459,107942,88419,74216,71296,64943,69557,97426,167175,339356,342920,383788,465465,158598,,,,,,,,,,,,,,,,,,,,,,,,,
年轻人想早睡有多难,146748,169838,223987,233117,164513,132716,147961,156091,151546,134438,98570,57169,34747,25830,19232,16109,13827,12486,11771,13199,11149,11059,14978,24590,,,,,,,,,,,,,,,,,,,,,,,,,
为啥北方一过节就吃饺子,146315,196860,366040,400656,380405,397538,380996,338051,307341,342704,296280,274173,308913,530952,699661,624868,476532,372097,199031,150121,113917,93635,72983,85126,69700,20760,13182,9868,9157,10401,14435,20769,,,,,,,,,,,,,,,,,
德云社团综,266641,670488,518497,407474,408993,364722,319058,265315,205897,192759,244425,222374,164506,105609,61799,39476,28574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
