词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
因为胖都受到哪些委屈,200871,292054,263211,220265,178319,122147,97580,60385,41721,34160,29232,28344,28066,27647,32799,55456,81959,93892,104008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吃火锅时最low的行为,126346,385476,938855,867552,761804,668169,672562,534088,476966,416694,408019,374170,349756,318061,317246,292286,246099,210289,194506,160747,138781,118871,93265,63061,45608,42537,27211,21603,18202,15729,12206,11678,12273,13954,20095,,,,,,,,,,,,,,
pdd加盟吐槽大会,129038,259963,235464,274927,616232,538941,342770,346531,376098,296160,210277,168339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影楼店员将起诉自杀女子家属,167191,574268,1233189,1326094,1094709,824981,677352,540660,387928,252696,175964,166657,120073,101835,71608,66599,70117,82909,129432,231134,396543,394645,383530,304799,259322,162375,124543,,,,,,,,,,,,,,,,,,,,,,
掉入冰窟窿后如何自救,134183,260332,107901,135206,97219,73903,62734,42252,33874,27047,28999,37084,67026,133990,171237,207642,201363,169805,109155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绝美肩颈线大赏,60440,137780,196974,191582,198606,223873,217258,165837,145630,125688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贾跃亭个人资产14.1亿美元,153904,535033,303108,351728,372457,463611,393224,292757,235964,197426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梦回大清改编,116513,353530,338783,242300,428821,342376,332387,298936,257711,212099,173505,155218,147211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯扇耳光大赛冠军被扇晕,142924,353607,299081,338120,243132,208809,210486,189990,165538,134139,109234,89551,69614,52983,38556,31146,27398,23100,16462,15009,14980,16139,21443,32293,48185,,,,,,,,,,,,,,,,,,,,,,,,
春节快递停发时间表是假的,135007,973303,976056,1546090,579025,506832,511026,596753,494018,405014,184652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
